label|path|status|size_bytes|sha256
wasm_engine_out_js|out/wasm/engine.js|present|47891|c8342f03afb5800e0202f9280d08675e907ede12790d0281a7809f9d3df7b260
wasm_engine_out_wasm|out/wasm/engine.wasm|present|46430|0743c4ea57aa78f1b5da9fce1894034fd2a6f86bf14fe2983d849858b68bfbd0
wasm_engine_public_js|src/typescript/react/public/wasm/engine.js|present|47891|c8342f03afb5800e0202f9280d08675e907ede12790d0281a7809f9d3df7b260
wasm_engine_public_wasm|src/typescript/react/public/wasm/engine.wasm|present|46430|0743c4ea57aa78f1b5da9fce1894034fd2a6f86bf14fe2983d849858b68bfbd0
wasm_engine_artifact_js|artifacts/wasm/banana-wasm-engine.js|present|47891|c8342f03afb5800e0202f9280d08675e907ede12790d0281a7809f9d3df7b260
wasm_engine_artifact_wasm|artifacts/wasm/banana-wasm-engine.wasm|present|46430|0743c4ea57aa78f1b5da9fce1894034fd2a6f86bf14fe2983d849858b68bfbd0
generated_asset_1|src/typescript/react/public/generated-assets/banana-generated-materials.json|missing|0|N/A
generated_asset_2|src/typescript/react/public/generated-assets/banana-generated-tilemaps.json|missing|0|N/A
generated_asset_3|src/typescript/react/public/generated-assets/banana-generated-worlds.json|missing|0|N/A
