label|path|status|size_bytes|sha256
wasm_engine_out_js|out/wasm/engine.js|present|47891|c8342f03afb5800e0202f9280d08675e907ede12790d0281a7809f9d3df7b260
wasm_engine_out_wasm|out/wasm/engine.wasm|present|46430|0743c4ea57aa78f1b5da9fce1894034fd2a6f86bf14fe2983d849858b68bfbd0
wasm_engine_public_js|src/typescript/react/public/wasm/engine.js|present|47891|c8342f03afb5800e0202f9280d08675e907ede12790d0281a7809f9d3df7b260
wasm_engine_public_wasm|src/typescript/react/public/wasm/engine.wasm|present|46430|0743c4ea57aa78f1b5da9fce1894034fd2a6f86bf14fe2983d849858b68bfbd0
wasm_engine_artifact_js|artifacts/wasm/banana-wasm-engine.js|present|47891|c8342f03afb5800e0202f9280d08675e907ede12790d0281a7809f9d3df7b260
wasm_engine_artifact_wasm|artifacts/wasm/banana-wasm-engine.wasm|present|46430|0743c4ea57aa78f1b5da9fce1894034fd2a6f86bf14fe2983d849858b68bfbd0
generated_asset_banana-generated-assets.manifest|src/typescript/react/public/generated-assets/banana-generated-assets.manifest.json|present|719|d31ffbda672cca13905fa698203433abb8d9a3815afe2279a6c3952e1152b16b
generated_asset_banana-generated-palette|src/typescript/react/public/generated-assets/banana-generated-palette.json|present|913|331e551b52a1b160851ff9f2b35efa32b090e288c271265c44387634571a475a
generated_asset_banana-generated-terrain|src/typescript/react/public/generated-assets/banana-generated-terrain.json|present|156592|4549f09fe6134583f0777fadeeb0f58f34d413c018ebcfd2660993f136bb54c5
